net,length_um
core.u_regfile.registers\[2\]\[25\],130.8µm
clknet_4_0_0_clk,128.88µm
net131,128.445µm
net92,128.14µm
net176,127.035µm
_2122_,126.76µm
net177,126.42µm
_2747_,126.13µm
net110,125.82µm
core.u_regfile.registers\[1\]\[25\],125.7µm
net206,125.5µm
net117,125.02µm
net235,124.81µm
core.u_regfile.registers\[1\]\[23\],124.12µm
core.u_regfile.registers\[1\]\[5\],123.32µm
net38,123.12µm
_1043_,122.69µm
_1751_,122.3µm
_2028_,122.3µm
clknet_4_2_0_clk,121.43µm
net197,120.46µm
net199,118.21µm
net221,117.28µm
net109,116.62µm
net144,116.2µm
net239,116.07µm
clknet_4_1_0_clk,115µm
_1259_,114.8µm
net232,114.72µm
clknet_4_3_0_clk,114.66µm
net181,114.12µm
net228,113.88µm
net73,113.82µm
net87,113.005µm
net106,112.61µm
net41,111µm
_2224_,110.18µm
_1006_,109.48µm
clknet_4_13_0_clk,108.7µm
net121,108.66µm
_0972_,107.98µm
net115,105.46µm
clknet_4_15_0_clk,104.04µm
net233,103.08µm
net300,103.08µm
_1850_,102.94µm
_2093_,102.78µm
core.u_regfile.registers\[2\]\[19\],102.36µm
_0907_,102.34µm
net143,102.32µm
_1927_,102.12µm
net97,102.12µm
clknet_4_12_0_clk,101.94µm
net156,100.86µm
_1990_,99.55µm
_0946_,98.62µm
_1904_,98.42µm
_1892_,98.04µm
net118,97.04µm
net250,96.79µm
_1719_,96.78µm
net116,96.22µm
net217,95.7µm
net229,95.69µm
_1889_,95.51µm
_1580_,95.505µm
_2307_,95.4µm
core.u_regfile.registers\[2\]\[9\],94.81µm
_1392_,94.56µm
net219,93.7µm
core.u_regfile.registers\[1\]\[27\],93.54µm
_1648_,93.02µm
_2079_,92.88µm
_1737_,92.73µm
_1883_,92.64µm
_0873_,92.42µm
net35,92.13µm
net241,91.97µm
_2075_,91.3µm
_1736_,91.04µm
net107,90.86µm
_2175_,90.46µm
net227,90.3µm
_1187_,89.98µm
net85,89.9µm
net40,89.555µm
_2174_,89.5µm
_2885_,89.43µm
net147,89.24µm
net247,88.98µm
core.u_regfile.registers\[2\]\[27\],88.955µm
_1484_,88.52µm
net128,88.5µm
core.u_regfile.registers\[2\]\[24\],87.98µm
_1991_,87.78µm
clknet_4_8_0_clk,87.18µm
_0628_,86.46µm
_2542_,86.435µm
net39,85.95µm
_1157_,85.92µm
_0359_,85.82µm
_0513_,85.68µm
net79,85.4µm
_2300_,85.26µm
_2120_,85.14µm
net226,85.05µm
_2597_,84.85µm
core.u_regfile.registers\[1\]\[26\],84.36µm
_2465_,84.24µm
clknet_4_9_0_clk,83.92µm
_0629_,83.84µm
_2092_,83.38µm
_1750_,83.22µm
_0509_,82.98µm
net114,82.76µm
_1256_,82.66µm
clknet_4_14_0_clk,82.62µm
net211,82.48µm
net112,82.475µm
_1261_,82.225µm
_1891_,82.22µm
_1156_,82.04µm
net111,81.8µm
net210,80.84µm
_1639_,80.56µm
_1813_,80.42µm
_2958_,80.365µm
core.u_regfile.registers\[2\]\[22\],80.34µm
_1510_,80µm
net225,79.98µm
_1148_,79.88µm
_2951_,79.485µm
_0743_,79.26µm
_1471_,79.16µm
core.u_regfile.registers\[1\]\[1\],79.08µm
_3012_,78.94µm
_0742_,78.6µm
_0415_,78.24µm
net299,77.98µm
_1146_,77.9µm
_0512_,77.36µm
_1336_,77.34µm
_2561_,77.08µm
_1418_,76.5µm
net207,76.06µm
core.u_regfile.registers\[1\]\[28\],75.96µm
_0814_,75.92µm
net223,75.9µm
net212,75.3µm
net185,75.28µm
_0871_,75.1µm
net296,75.06µm
_1124_,74.86µm
net113,74.8µm
_2852_,74.54µm
_2207_,74.38µm
net313,74.26µm
_0872_,73.99µm
_1325_,73.91µm
net74,73.88µm
_1954_,73.84µm
_2002_,73.36µm
_2803_,72.815µm
_0398_,72.8µm
_2484_,72.6µm
_1391_,72.22µm
_1249_,71.76µm
net224,71.66µm
net215,71.38µm
_2627_,71.32µm
_1010_,71.16µm
_2295_,71.12µm
_1489_,70.98µm
net208,70.74µm
_1378_,70.46µm
_1493_,69.74µm
_2718_,69.42µm
_2257_,69.22µm
_1548_,69.2µm
_1720_,68.82µm
_0746_,68.7µm
_2876_,68.68µm
_0167_,68.2µm
_2133_,67.96µm
_0969_,67.92µm
_1315_,67.92µm
clknet_4_11_0_clk,67.095µm
_1297_,66.74µm
_2284_,66.66µm
net272,66.66µm
_1115_,66.2µm
_1150_,66.14µm
_1402_,65.98µm
_2927_,65.76µm
_0401_,65.575µm
_2068_,65.565µm
_1932_,65.4µm
net240,65.32µm
core.u_regfile.registers\[2\]\[26\],65.31µm
net24,65.24µm
_2369_,64.98µm
_1565_,64.56µm
net245,64.16µm
_1262_,63.18µm
net187,62.87µm
_1509_,62.86µm
_1986_,62.22µm
_0261_,62.2µm
_0831_,62.02µm
core.u_regfile.registers\[1\]\[29\],61.44µm
net173,61.38µm
core.u_regfile.registers\[1\]\[21\],61.02µm
_1773_,60.98µm
_1631_,60.76µm
core.u_regfile.registers\[2\]\[1\],60.74µm
_1421_,59.86µm
core.u_regfile.registers\[2\]\[28\],59.69µm
_0294_,59.58µm
_0626_,59.46µm
_1377_,59.3µm
_2208_,59.28µm
_2256_,59.24µm
_1239_,59µm
_1404_,58.32µm
_1313_,58.02µm
net99,57.9µm
core.inst_addr_out\[27\],57.88µm
_2679_,57.74µm
net242,57.41µm
_1531_,57.36µm
_0625_,57.06µm
net230,56.98µm
core.u_regfile.registers\[1\]\[17\],56.62µm
_2956_,56.56µm
_1699_,56.06µm
_2311_,55.84µm
_1542_,55.56µm
_0474_,55.48µm
_0316_,55.475µm
_1121_,55.38µm
_0965_,55.295µm
_0645_,55.18µm
_0745_,55.14µm
_1098_,54.84µm
_1419_,54.56µm
_1158_,54.54µm
_1227_,54.48µm
core.inst_addr_out\[28\],54.14µm
net13,54.08µm
_2177_,53.76µm
_0959_,53.34µm
_2895_,52.61µm
_1939_,52.5µm
_1299_,52.16µm
_1169_,51.68µm
_1035_,51.34µm
_1431_,51.24µm
_1673_,51.24µm
_2506_,51.2µm
core.dsp_result_in\[27\],50.92µm
_1628_,50.88µm
_1690_,50.88µm
_2518_,50.86µm
_0103_,50.4µm
_1242_,50.4µm
net27,49.82µm
_2949_,49.58µm
_1426_,49.28µm
net218,49.18µm
_3029_,49.05µm
_2338_,48.9µm
_2228_,48.84µm
_1985_,48.8µm
_2420_,48.78µm
_2385_,48.34µm
_2364_,48.32µm
_3001_,48.16µm
_1084_,48.12µm
_2554_,48.065µm
_0879_,47.82µm
_0921_,47.72µm
core.u_regfile.registers\[1\]\[22\],47.7µm
core.u_regfile.registers\[2\]\[29\],47.61µm
_0767_,47.56µm
_1020_,47.36µm
_1973_,47.1µm
_0153_,47.02µm
_3007_,46.82µm
net295,46.7µm
core.inst_addr_out\[31\],46.5µm
net89,46.5µm
_2672_,46.445µm
_0201_,46.4µm
net216,46.4µm
_0994_,46.28µm
_1233_,46.08µm
_1232_,46.06µm
_2756_,46.06µm
_2996_,45.9µm
_0292_,45.38µm
_1303_,45.38µm
_2947_,45.36µm
core.inst_addr_out\[26\],45.12µm
_0124_,45µm
net86,44.9µm
_2562_,44.82µm
_2466_,44.78µm
_0471_,44.66µm
core.dsp_result_in\[26\],44.52µm
_0802_,44.26µm
_2387_,43.92µm
_0775_,43.81µm
_0391_,43.22µm
_2670_,43.22µm
_0146_,43.2µm
_2373_,43.18µm
_2118_,43.14µm
_1723_,43.08µm
_0218_,42.76µm
_0252_,42.76µm
_0760_,42.3µm
_2879_,42.24µm
_1268_,42.19µm
_0649_,42.145µm
_2690_,42.08µm
_0990_,42µm
_2309_,41.9µm
_2380_,41.72µm
_2282_,41.68µm
net251,41.68µm
_0586_,41.42µm
_0284_,41.25µm
core.inst_addr_out\[29\],41.24µm
_0624_,41.04µm
_2156_,40.96µm
_0787_,40.95µm
_2598_,40.86µm
_1526_,40.84µm
_2378_,40.62µm
_0096_,40.48µm
core.inst_addr_out\[30\],40.46µm
_0072_,40.4µm
_2298_,40.3µm
_1460_,40.225µm
_2097_,40.16µm
_2954_,40.14µm
_1809_,40.08µm
_2401_,40.08µm
_0335_,40.06µm
_1705_,39.94µm
_1438_,39.74µm
_2236_,39.74µm
_0744_,39.66µm
_2191_,39.66µm
_2883_,39.54µm
_1300_,39.52µm
_2945_,39.5µm
_2822_,39.34µm
_2926_,39.26µm
_2832_,39.24µm
_0365_,39.1µm
_1057_,38.7µm
_2520_,38.68µm
_2421_,38.56µm
_2406_,38.16µm
_2342_,38.02µm
core.u_regfile.registers\[1\]\[18\],37.88µm
_1949_,37.79µm
_0694_,37.6µm
core.inst_addr_out\[21\],37.49µm
_1099_,37.44µm
core.inst_addr_out\[24\],37.1µm
_0630_,37.08µm
_0511_,36.98µm
_1880_,36.88µm
_0344_,36.76µm
_2050_,36.68µm
_0750_,36.62µm
_0826_,36.56µm
_0309_,36.52µm
_2067_,36.44µm
_2781_,36.36µm
_2515_,36.3µm
_0126_,36.16µm
_1541_,35.98µm
_2184_,35.72µm
_3037_,35.72µm
_1511_,35.68µm
_0768_,35.645µm
_0964_,35.51µm
_2628_,35.46µm
_2973_,35.3µm
_2019_,35.28µm
_3005_,35.145µm
_0222_,35.12µm
_0961_,34.98µm
_1755_,34.78µm
_2868_,34.56µm
_0387_,34.48µm
_1352_,34.46µm
_2254_,34.38µm
_2736_,34.195µm
_2643_,34.12µm
_2548_,34.09µm
_2524_,33.94µm
core.u_regfile.registers\[1\]\[30\],33.94µm
net18,33.84µm
_1801_,33.52µm
_0996_,33.36µm
_2210_,33.34µm
_1782_,33.26µm
_1761_,32.84µm
_2663_,32.84µm
_1657_,32.68µm
_1674_,32.58µm
_1968_,32.52µm
_2639_,32.42µm
_2793_,32.4µm
_0351_,32.285µm
_1318_,32.04µm
net19,32µm
_0121_,31.88µm
_1650_,31.88µm
_3006_,31.84µm
_2458_,31.805µm
_2185_,31.72µm
_1878_,31.69µm
_0117_,31.58µm
_2332_,31.54µm
dsp.u_mac.acc_reg\[29\],31.52µm
_2972_,31.48µm
_1746_,31.44µm
_0215_,31.42µm
_1202_,31.26µm
_2685_,31.24µm
_1595_,31.22µm
core.dsp_result_in\[30\],31.16µm
_0286_,31.08µm
_1332_,31.015µm
_1584_,31µm
_2778_,30.98µm
_1155_,30.905µm
_0164_,30.72µm
_1884_,30.72µm
_1032_,30.64µm
_0267_,30.58µm
_0495_,30.395µm
_0829_,30.36µm
_1350_,30.28µm
_3040_,30.22µm
_0400_,30.2µm
_1978_,30.2µm
_1910_,30.18µm
_2375_,30.12µm
_1615_,30.07µm
core.u_regfile.registers\[2\]\[30\],30.06µm
_1480_,29.98µm
_2820_,29.965µm
_0313_,29.92µm
_2451_,29.9µm
_1357_,29.66µm
_2162_,29.6µm
core.dsp_result_in\[28\],29.58µm
_2875_,29.56µm
_2371_,29.53µm
_0219_,29.4µm
_2055_,29.4µm
_1627_,29.36µm
_0119_,29.3µm
_0194_,29.08µm
_2582_,29.06µm
_1679_,29.04µm
_2968_,28.94µm
_0797_,28.86µm
core.dsp_result_in\[24\],28.86µm
_0477_,28.74µm
_1585_,28.72µm
_2601_,28.64µm
_1450_,28.62µm
_0503_,28.56µm
_0585_,28.52µm
_2540_,28.46µm
_2128_,28.375µm
_0317_,28.265µm
_2881_,28.245µm
_1198_,28.24µm
_0534_,28.18µm
_1031_,28.04µm
_1711_,28.02µm
_0506_,28µm
_2096_,27.94µm
_2000_,27.86µm
_2513_,27.84µm
_0895_,27.78µm
_2368_,27.78µm
_0939_,27.7µm
_0421_,27.66µm
_2649_,27.66µm
_2452_,27.48µm
_2581_,27.48µm
_2546_,27.46µm
_0450_,27.38µm
_1348_,27.34µm
_2383_,27.3µm
_0555_,27.18µm
_1623_,27.13µm
net310,27.1µm
_0366_,27.08µm
_2061_,27.02µm
_0125_,27µm
_1972_,26.94µm
_1860_,26.9µm
_2611_,26.88µm
_0192_,26.86µm
core.dsp_result_in\[3\],26.86µm
_2261_,26.79µm
core.dsp_result_in\[31\],26.78µm
_1491_,26.76µm
_0893_,26.735µm
_2620_,26.62µm
_0811_,26.6µm
_1370_,26.55µm
_2950_,26.545µm
_1643_,26.46µm
_0963_,26.4µm
_2729_,26.38µm
_0277_,26.36µm
_1067_,26.28µm
_2091_,26.14µm
_0460_,26.12µm
_1916_,26.04µm
_2258_,26µm
_1210_,25.98µm
_1022_,25.96µm
_2125_,25.96µm
_1552_,25.94µm
_2734_,25.94µm
_1587_,25.9µm
_2607_,25.88µm
_1683_,25.84µm
_2514_,25.84µm
_2629_,25.84µm
_3010_,25.84µm
_0423_,25.82µm
_1294_,25.72µm
_2500_,25.7µm
_2799_,25.66µm
_2046_,25.64µm
_0220_,25.62µm
_3038_,25.62µm
_2648_,25.6µm
_0278_,25.54µm
_1993_,25.41µm
_2651_,25.38µm
_1293_,25.32µm
core.dsp_result_in\[22\],25.26µm
_3033_,25.24µm
_2841_,25.22µm
dsp.u_mac.acc_reg\[13\],25.14µm
_1449_,25µm
_0289_,24.94µm
_1731_,24.92µm
_2579_,24.8µm
_0640_,24.74µm
net322,24.725µm
_0535_,24.72µm
_0419_,24.68µm
_0183_,24.6µm
_0268_,24.5µm
_1021_,24.48µm
_2260_,24.44µm
_1670_,24.4µm
_1800_,24.38µm
_1353_,24.32µm
_2432_,24.315µm
_0318_,24.3µm
_0639_,24.24µm
core.u_regfile.registers\[1\]\[24\],24.24µm
_1512_,24.22µm
_2593_,24.22µm
_2392_,24.16µm
_1781_,24.14µm
_2921_,24.11µm
_3035_,24.1µm
_0247_,24.08µm
_1653_,24.02µm
_1406_,23.96µm
_0173_,23.88µm
_2691_,23.88µm
_0424_,23.82µm
_1877_,23.82µm
_1946_,23.8µm
_2482_,23.72µm
_1661_,23.68µm
dsp.u_mac.acc_reg\[31\],23.66µm
_2007_,23.64µm
_1346_,23.62µm
_2139_,23.62µm
core.u_regfile.registers\[1\]\[19\],23.6µm
_0174_,23.56µm
_1977_,23.54µm
_1617_,23.48µm
_0592_,23.475µm
_1277_,23.44µm
_1586_,23.38µm
_0490_,23.32µm
_0200_,23.31µm
_2440_,23.16µm
net21,23.16µm
_1172_,23.14µm
_1265_,23.14µm
_1444_,23.14µm
_0314_,23.12µm
_0528_,23.1µm
_2152_,23.08µm
_0157_,23.065µm
_0185_,23.02µm
net20,22.88µm
_1312_,22.86µm
_2366_,22.8µm
_2390_,22.79µm
_1803_,22.78µm
dsp.u_mac.acc_reg\[22\],22.78µm
_2445_,22.74µm
_2163_,22.73µm
_1984_,22.72µm
_2667_,22.645µm
_0425_,22.62µm
_1722_,22.62µm
_2340_,22.62µm
_2999_,22.62µm
_0714_,22.58µm
_1058_,22.58µm
_2348_,22.58µm
_1111_,22.56µm
_2596_,22.56µm
core.inst_addr_out\[25\],22.5µm
_1694_,22.48µm
_2774_,22.4µm
_1518_,22.38µm
core.dsp_result_in\[29\],22.34µm
_0752_,22.29µm
_2909_,22.28µm
_0669_,22.2µm
_1500_,22.2µm
_2576_,22.2µm
_0741_,22.11µm
_2161_,22.1µm
_1581_,22.04µm
_2797_,21.96µm
core.dsp_result_in\[8\],21.96µm
core.dsp_result_in\[9\],21.96µm
_1235_,21.88µm
_1975_,21.88µm
_2617_,21.88µm
_0112_,21.875µm
_0377_,21.82µm
_1667_,21.8µm
_2334_,21.8µm
_2062_,21.74µm
_2339_,21.74µm
_0960_,21.72µm
_0399_,21.66µm
core.u_fetch.next_pc\[2\],21.56µm
_0459_,21.54µm
_1616_,21.5µm
_1582_,21.46µm
_1675_,21.46µm
_1439_,21.4µm
_0420_,21.36µm
_1349_,21.28µm
_1423_,21.26µm
_1669_,21.26µm
_1475_,21.24µm
_2731_,21.18µm
_1178_,21.14µm
_1025_,21.12µm
core.dsp_result_in\[14\],21.12µm
core.u_regfile.registers\[2\]\[31\],21.12µm
net238,21.12µm
_0532_,21.08µm
_1602_,21.04µm
core.dsp_result_in\[19\],21µm
_0270_,20.94µm
_1744_,20.915µm
_0395_,20.88µm
_1969_,20.88µm
_0724_,20.86µm
_0898_,20.8µm
_1309_,20.785µm
_2351_,20.78µm
_2738_,20.66µm
_1872_,20.56µm
_1846_,20.52µm
_2674_,20.52µm
_1395_,20.42µm
_2645_,20.42µm
_0127_,20.36µm
_1819_,20.36µm
_2702_,20.34µm
_2668_,20.33µm
_1614_,20.32µm
_0078_,20.26µm
_0572_,20.26µm
_0356_,20.24µm
_1171_,20.14µm
_1457_,20.12µm
_0253_,20.1µm
_2819_,20.1µm
_0262_,20.075µm
_1118_,20.06µm
_1960_,20.04µm
_2039_,19.98µm
_2504_,19.94µm
_0735_,19.92µm
core.dsp_result_in\[25\],19.92µm
_1588_,19.86µm
_1795_,19.86µm
_2583_,19.86µm
_2930_,19.86µm
_1164_,19.8µm
_2836_,19.78µm
_0417_,19.76µm
_1305_,19.7µm
_2001_,19.68µm
_2325_,19.66µm
_2449_,19.66µm
_2399_,19.62µm
_0263_,19.6µm
_0500_,19.6µm
_2566_,19.595µm
_1108_,19.58µm
_1555_,19.58µm
_1478_,19.5µm
_2129_,19.5µm
_0926_,19.46µm
dsp.u_mac.acc_reg\[23\],19.46µm
_1769_,19.44µm
_0531_,19.4µm
_1136_,19.36µm
_1174_,19.36µm
_1715_,19.36µm
_0142_,19.28µm
_2301_,19.28µm
_2544_,19.28µm
_2824_,19.28µm
_2985_,19.24µm
_2095_,19.22µm
_0525_,19.18µm
dsp.u_mac.acc_reg\[25\],19.14µm
_1063_,19.08µm
_2535_,19.08µm
_0646_,19.05µm
_1003_,18.9µm
net2,18.88µm
_0522_,18.865µm
_0382_,18.78µm
_2873_,18.78µm
_0864_,18.68µm
core.inst_addr_out\[7\],18.68µm
_2312_,18.67µm
_0536_,18.665µm
_0497_,18.64µm
_2735_,18.56µm
_2183_,18.54µm
_3059_,18.54µm
_1607_,18.52µm
core.inst_addr_out\[20\],18.52µm
_2766_,18.5µm
core.inst_addr_out\[18\],18.5µm
_2784_,18.48µm
_1847_,18.46µm
_0896_,18.4µm
_1504_,18.36µm
_3031_,18.36µm
_2928_,18.32µm
_1160_,18.28µm
_2396_,18.28µm
_1327_,18.245µm
_0199_,18.22µm
_1915_,18.22µm
_1048_,18.2µm
_1876_,18.2µm
core.inst_addr_out\[13\],18.2µm
_1758_,18.19µm
_1101_,18.12µm
_0484_,18.1µm
net289,18.1µm
_1175_,18.06µm
_2330_,18.06µm
_1865_,18.04µm
_2564_,18.04µm
core.inst_addr_out\[12\],18.04µm
_0973_,18.02µm
_2805_,18µm
_1073_,17.98µm
_1716_,17.94µm
_2920_,17.88µm
_2853_,17.86µm
_0264_,17.84µm
_0331_,17.82µm
_2570_,17.78µm
_1107_,17.74µm
_2989_,17.74µm
_0920_,17.7µm
_1266_,17.7µm
_2580_,17.7µm
_0786_,17.68µm
_1606_,17.68µm
_0957_,17.66µm
_1919_,17.66µm
_2169_,17.66µm
core.u_regfile.registers\[1\]\[31\],17.64µm
_0214_,17.62µm
_1380_,17.62µm
_0932_,17.6µm
_1825_,17.58µm
net283,17.58µm
_0621_,17.54µm
net1,17.52µm
_1830_,17.48µm
_0747_,17.44µm
_0889_,17.44µm
_1538_,17.44µm
_2056_,17.38µm
_3027_,17.365µm
_1000_,17.36µm
_2471_,17.36µm
_0943_,17.34µm
core.inst_addr_out\[23\],17.32µm
_1537_,17.28µm
_0892_,17.26µm
_1550_,17.26µm
_1206_,17.24µm
_2475_,17.24µm
_1166_,17.18µm
_1829_,17.18µm
_0685_,17.16µm
_0974_,17.16µm
_1417_,17.16µm
_1499_,17.16µm
_2237_,17.16µm
_0827_,17.14µm
_1360_,17.12µm
_1658_,17.1µm
_2350_,17.08µm
_1488_,17.065µm
_0678_,17.06µm
_1601_,17.04µm
_1811_,17.04µm
_1281_,17.02µm
_2328_,17.02µm
_2394_,16.98µm
core.dsp_result_in\[23\],16.98µm
_2180_,16.97µm
_0487_,16.94µm
_2610_,16.94µm
_0806_,16.92µm
_0213_,16.82µm
_0453_,16.82µm
_2802_,16.82µm
core.dsp_result_in\[7\],16.82µm
net315,16.82µm
_1201_,16.8µm
_0951_,16.76µm
_2337_,16.76µm
_2782_,16.72µm
_0982_,16.7µm
_2757_,16.68µm
_0283_,16.66µm
_1134_,16.66µm
_2006_,16.62µm
_1270_,16.6µm
_1836_,16.6µm
_1924_,16.58µm
_1759_,16.56µm
_0442_,16.54µm
dsp.u_mac.acc_reg\[19\],16.5µm
_1486_,16.485µm
_1151_,16.48µm
_0098_,16.46µm
dsp.u_mac.acc_reg\[1\],16.46µm
_0384_,16.44µm
_1143_,16.44µm
_1930_,16.44µm
_1979_,16.44µm
_2192_,16.44µm
_1228_,16.42µm
_2711_,16.395µm
_1796_,16.36µm
_2666_,16.36µm
_3008_,16.34µm
_0176_,16.28µm
_0235_,16.24µm
_0505_,16.23µm
_0992_,16.22µm
dsp.u_mac.acc_reg\[21\],16.18µm
_1161_,16.14µm
_1341_,16.12µm
_1766_,16.1µm
_2439_,16.09µm
_2844_,16.08µm
_0265_,16.06µm
dsp.u_mac.acc_reg\[8\],16.06µm
_1255_,16.03µm
_1320_,16.02µm
_2531_,16.02µm
_3026_,16.02µm
_1387_,15.98µm
_1901_,15.96µm
_1033_,15.92µm
_1467_,15.92µm
_0977_,15.9µm
_2539_,15.88µm
_2877_,15.88µm
_0824_,15.86µm
_0667_,15.84µm
_0835_,15.84µm
_1328_,15.84µm
_0764_,15.78µm
_1818_,15.76µm
_1849_,15.76µm
_2831_,15.76µm
_2867_,15.76µm
_2590_,15.75µm
_1964_,15.74µm
_0198_,15.72µm
_1182_,15.72µm
_2272_,15.72µm
_2435_,15.72µm
_1476_,15.705µm
_2854_,15.7µm
_1234_,15.68µm
_2080_,15.67µm
_0438_,15.66µm
_0717_,15.66µm
_1933_,15.66µm
_2804_,15.66µm
_0349_,15.62µm
_0410_,15.62µm
_1441_,15.62µm
_2384_,15.605µm
_0147_,15.56µm
_2146_,15.56µm
_2737_,15.52µm
_2848_,15.52µm
_0788_,15.48µm
_1472_,15.48µm
monitor_out[29],15.48µm
_2415_,15.44µm
_2534_,15.44µm
_2652_,15.44µm
net31,15.42µm
_0537_,15.38µm
_0462_,15.36µm
_1867_,15.36µm
_1765_,15.34µm
_2290_,15.34µm
_2417_,15.34µm
_2932_,15.305µm
_0627_,15.3µm
_0890_,15.3µm
core.inst_addr_out\[10\],15.3µm
_0863_,15.26µm
_1321_,15.26µm
_1676_,15.26µm
_1597_,15.245µm
_0975_,15.24µm
_1610_,15.24µm
core.dsp_valid_out,15.24µm
_1059_,15.22µm
core.inst_addr_out\[14\],15.22µm
_2486_,15.2µm
core.u_regfile.registers\[1\]\[20\],15.2µm
_0838_,15.18µm
_1365_,15.18µm
_0623_,15.17µm
_0668_,15.16µm
_0217_,15.14µm
_0432_,15.12µm
_1254_,15.1µm
_1276_,15.1µm
_0984_,15.08µm
_1528_,15.06µm
_0815_,15.04µm
_1055_,15.04µm
_1188_,15.02µm
_1654_,15.02µm
_1976_,14.96µm
dsp.u_mac.acc_reg\[28\],14.96µm
_1717_,14.94µm
