net,length_um
clknet_0_clk,857.76µm
net72,522.07µm
net56,497.78µm
net91,488.29µm
net82,483.74µm
net67,478.14µm
core.u_regfile.registers\[1\]\[10\],463.58µm
core.u_regfile.registers\[1\]\[12\],453.66µm
net34,440.58µm
net160,425.285µm
net61,416.32µm
net255,399.01µm
net195,392.48µm
net194,387.55µm
net198,365.44µm
net316,360.97µm
net189,360.56µm
net254,357.91µm
net142,357.14µm
_2609_,356.09µm
net46,351.64µm
net205,350.54µm
net64,341.81µm
net193,340.72µm
core.u_regfile.registers\[1\]\[9\],338.64µm
net196,337.68µm
net163,335.81µm
net135,332.89µm
_2608_,330.12µm
core.u_regfile.registers\[1\]\[8\],327.435µm
net237,325.84µm
_0322_,324.83µm
net48,321.02µm
net192,319.18µm
net288,317.28µm
net36,317.16µm
net164,317.01µm
core.u_regfile.registers\[1\]\[11\],314.03µm
net55,313.435µm
net52,312.13µm
core.u_regfile.registers\[2\]\[11\],310.83µm
clk,306.51µm
net171,298.81µm
net186,297.22µm
net126,291.87µm
net57,286.89µm
net248,284.83µm
net139,284.05µm
_2356_,283.98µm
net168,281.14µm
net202,280.475µm
net53,279.49µm
core.u_regfile.registers\[2\]\[16\],278.78µm
net157,277.93µm
net122,276.19µm
net101,276.055µm
net88,276.045µm
net76,273.15µm
_2074_,272.01µm
core.u_regfile.registers\[1\]\[14\],271.98µm
net129,269.24µm
net77,264.48µm
core.u_regfile.registers\[1\]\[0\],264.26µm
net69,262.38µm
_2271_,262.29µm
net80,257.44µm
net154,256.6µm
net188,255.94µm
net184,250.84µm
net159,250.735µm
net166,250.34µm
core.u_regfile.registers\[1\]\[6\],248.875µm
core.u_regfile.registers\[1\]\[7\],248.76µm
net105,247.34µm
_3045_,245.96µm
_2363_,244.35µm
net54,244.11µm
net201,244.03µm
net165,243.145µm
net203,243.08µm
net161,242.745µm
net104,242.2µm
net191,241.995µm
net124,239.45µm
clknet_4_6_0_clk,238.7µm
net183,237.62µm
net100,235.545µm
_2362_,234.635µm
net158,233.43µm
net51,232.88µm
_2553_,232.66µm
_2403_,230.83µm
net63,229.215µm
net253,226.52µm
core.u_regfile.registers\[2\]\[15\],224.06µm
net47,222.62µm
net45,222.6µm
net70,222.395µm
net132,220.44µm
net44,220.17µm
net317,219.46µm
_2811_,219.33µm
net59,216.7µm
net130,216.045µm
net214,215.85µm
net304,215.39µm
net103,214.08µm
net95,212.82µm
net150,212.57µm
net58,211.575µm
_2744_,210.72µm
_0429_,210.68µm
net62,209.08µm
net90,206.98µm
net127,203.72µm
net153,201.65µm
net102,201.11µm
net320,199.78µm
net134,198.24µm
net50,196.58µm
core.u_regfile.registers\[2\]\[12\],196.105µm
_0133_,195.3µm
core.u_regfile.registers\[2\]\[8\],194.91µm
net222,194.64µm
net60,194.34µm
core.u_regfile.registers\[1\]\[13\],191.94µm
clknet_4_7_0_clk,190.46µm
net175,189.25µm
net179,188.57µm
net93,188.18µm
net231,186.05µm
net78,184.46µm
net125,183.36µm
net209,183.24µm
net138,183.06µm
net243,181.77µm
net180,181.67µm
net120,180.26µm
core.u_regfile.registers\[2\]\[17\],180.24µm
core.u_regfile.registers\[1\]\[2\],179.35µm
net75,178.01µm
net270,176.78µm
net65,176.74µm
net37,176.72µm
net220,175.67µm
core.u_regfile.registers\[1\]\[16\],174.38µm
net140,174.04µm
core.u_regfile.registers\[2\]\[23\],173.95µm
net298,173.81µm
_0656_,173.28µm
_0541_,172.74µm
net155,169.8µm
clknet_4_4_0_clk,169.74µm
net148,168.26µm
_2250_,168.03µm
net96,167.13µm
_2008_,166.96µm
net145,166.76µm
net42,166.265µm
net190,165.68µm
net71,165.335µm
net151,165.04µm
net204,164.54µm
net167,164.105µm
net244,162.85µm
net136,161.39µm
net141,161.22µm
net170,160.96µm
_0774_,160.36µm
net169,160.36µm
net83,159.52µm
net178,158.85µm
core.u_regfile.registers\[1\]\[3\],157.97µm
net81,157.62µm
net149,156.925µm
net66,156.04µm
net182,153.88µm
net119,153.04µm
net146,152.68µm
net43,152.35µm
net162,152.125µm
net94,150.74µm
clknet_4_5_0_clk,149.3µm
net137,147.66µm
net172,147.515µm
net84,147.48µm
net49,146µm
net200,143.03µm
net133,139.88µm
net246,139.55µm
_0226_,136.98µm
net236,136.92µm
net312,136.36µm
net68,135.765µm
net301,135.21µm
net98,135.13µm
net123,133.96µm
net213,133.86µm
net252,133.57µm
net174,133.56µm
clknet_4_10_0_clk,133.45µm
net234,133.27µm
net108,132.635µm
net249,132.62µm
core.inst_addr_out\[2\],132.03µm
net152,131.56µm
