net,length_um
_1437_,14.8µm
net315,14.78µm
_0563_,14.76µm
_1221_,14.76µm
_1341_,14.76µm
_1665_,14.76µm
_0764_,14.74µm
_2412_,14.72µm
_0966_,14.7µm
_2136_,14.7µm
dsp.u_mac.acc_reg\[8\],14.68µm
_3034_,14.66µm
_1446_,14.62µm
_1597_,14.61µm
net17,14.58µm
_0577_,14.56µm
_0852_,14.56µm
_1013_,14.56µm
_1747_,14.56µm
monitor_out[28],14.56µm
_2823_,14.54µm
_2904_,14.54µm
_0211_,14.52µm
_1886_,14.5µm
_0991_,14.48µm
_1177_,14.48µm
_1445_,14.48µm
_1697_,14.48µm
_1786_,14.48µm
dsp.u_mac.acc_reg\[5\],14.48µm
_2289_,14.46µm
_0319_,14.42µm
_0370_,14.42µm
_0376_,14.42µm
core.u_regfile.registers\[1\]\[20\],14.4µm
_0158_,14.38µm
_0608_,14.38µm
_1999_,14.38µm
_2571_,14.38µm
_0321_,14.365µm
_1971_,14.36µm
_1768_,14.34µm
_2415_,14.33µm
_2350_,14.32µm
_2916_,14.32µm
_0638_,14.3µm
_1139_,14.3µm
_1644_,14.28µm
_0455_,14.26µm
core.dsp_result_in\[16\],14.26µm
_1895_,14.25µm
_0227_,14.24µm
_1109_,14.18µm
_1571_,14.18µm
_2997_,14.18µm
_1252_,14.14µm
_2030_,14.12µm
_0178_,14.105µm
_1662_,14.1µm
_2424_,14.1µm
_0612_,14.08µm
_0721_,14.08µm
_2946_,14.08µm
_2908_,14.055µm
_2563_,14.04µm
_1422_,14.02µm
_2570_,14.02µm
_1451_,14µm
_2253_,14µm
core.dsp_result_in\[0\],14µm
core.inst_addr_out\[6\],14µm
_0487_,13.96µm
core.inst_addr_out\[15\],13.96µm
_2758_,13.94µm
_0979_,13.92µm
_1056_,13.92µm
_2818_,13.92µm
_2867_,13.92µm
_1556_,13.9µm
_1553_,13.885µm
_0670_,13.88µm
_2537_,13.88µm
_3018_,13.88µm
_1237_,13.875µm
_2076_,13.86µm
_0712_,13.84µm
_1467_,13.84µm
_0448_,13.82µm
_0652_,13.8µm
_0368_,13.78µm
_0987_,13.72µm
_1265_,13.72µm
_1572_,13.72µm
_1672_,13.72µm
_2014_,13.72µm
_2182_,13.72µm
monitor_out[24],13.72µm
_1345_,13.7µm
_1824_,13.7µm
_0163_,13.68µm
_2471_,13.68µm
_0713_,13.66µm
_2708_,13.66µm
_2477_,13.64µm
_2566_,13.64µm
dsp.u_mac.acc_reg\[15\],13.64µm
_1524_,13.62µm
_0075_,13.58µm
_1817_,13.58µm
_1320_,13.56µm
_0327_,13.52µm
_0947_,13.5µm
_3022_,13.5µm
_1085_,13.48µm
_1304_,13.48µm
_0710_,13.46µm
_1088_,13.46µm
_0394_,13.44µm
_2809_,13.42µm
_0494_,13.4µm
_1002_,13.4µm
_0411_,13.38µm
_1144_,13.38µm
_1788_,13.38µm
_2960_,13.38µm
core.inst_addr_out\[8\],13.38µm
_0193_,13.36µm
_0339_,13.34µm
_1476_,13.34µm
_0734_,13.33µm
_2807_,13.305µm
_0876_,13.3µm
_1796_,13.3µm
_2455_,13.3µm
_2676_,13.3µm
monitor_out[27],13.3µm
_1625_,13.28µm
_1134_,13.26µm
_1302_,13.26µm
_1828_,13.26µm
core.inst_addr_out\[9\],13.26µm
_1066_,13.24µm
_0430_,13.23µm
_0463_,13.22µm
_2427_,13.22µm
_2897_,13.22µm
dsp.u_mac.acc_reg\[19\],13.22µm
_0595_,13.2µm
_1730_,13.18µm
_1776_,13.16µm
_0662_,13.13µm
_2036_,13.12µm
_2155_,13.12µm
_2169_,13.12µm
_0866_,13.1µm
_1621_,13.1µm
_1725_,13.1µm
_2844_,13.1µm
_0615_,13.08µm
_2077_,13.08µm
_2352_,13.08µm
_1384_,13.06µm
_1712_,13.06µm
dsp.u_mac.acc_reg\[1\],13.06µm
_0687_,13.05µm
_1330_,13.04µm
_1671_,13.04µm
_2165_,13.04µm
net358,13.04µm
_0913_,13.02µm
_1215_,13.02µm
_1660_,13.02µm
_1629_,13µm
_1651_,13µm
_1181_,12.99µm
_1641_,12.99µm
_1319_,12.96µm
_1640_,12.96µm
_2468_,12.96µm
_3053_,12.96µm
_0440_,12.94µm
_0886_,12.94µm
core.inst_addr_out\[19\],12.94µm
_1416_,12.92µm
_1626_,12.92µm
_2533_,12.92µm
_0789_,12.905µm
_1131_,12.9µm
_1646_,12.88µm
_2657_,12.88µm
_0637_,12.875µm
_0407_,12.84µm
_1329_,12.84µm
_1487_,12.83µm
_0352_,12.82µm
_1517_,12.8µm
_2568_,12.8µm
core.inst_addr_out\[5\],12.8µm
_1236_,12.78µm
_1401_,12.78µm
_1590_,12.76µm
_1689_,12.73µm
_0237_,12.72µm
_1193_,12.72µm
_0761_,12.7µm
_1899_,12.7µm
_0695_,12.68µm
_0783_,12.68µm
_0458_,12.66µm
_1089_,12.66µm
_0711_,12.64µm
_1130_,12.64µm
_2119_,12.64µm
_2794_,12.64µm
core.inst_addr_out\[4\],12.64µm
_2114_,12.6µm
_2998_,12.6µm
_0799_,12.58µm
_1170_,12.58µm
_2439_,12.58µm
core.inst_addr_out\[11\],12.58µm
net260,12.58µm
net323,12.58µm
_0698_,12.56µm
_2194_,12.56µm
_2423_,12.56µm
_0867_,12.55µm
_0312_,12.54µm
_0846_,12.54µm
_1018_,12.52µm
_2425_,12.52µm
core.dsp_result_in\[11\],12.52µm
core.u_fetch.next_pc\[30\],12.52µm
_0355_,12.5µm
_0434_,12.5µm
_0593_,12.5µm
_1114_,12.5µm
_1282_,12.5µm
_2878_,12.5µm
_0579_,12.46µm
_1428_,12.46µm
_2123_,12.46µm
_2770_,12.46µm
_3026_,12.46µm
_2381_,12.44µm
_2849_,12.44µm
_0836_,12.42µm
_0937_,12.42µm
_0290_,12.41µm
_1569_,12.4µm
_1334_,12.38µm
_1440_,12.38µm
_2094_,12.38µm
_2584_,12.38µm
net325,12.38µm
net330,12.38µm
_0888_,12.34µm
_2450_,12.34µm
_2528_,12.34µm
_0954_,12.32µm
_0172_,12.3µm
_0484_,12.3µm
_1396_,12.3µm
_2333_,12.28µm
_0869_,12.27µm
_1455_,12.26µm
_1921_,12.26µm
_2060_,12.26µm
_2905_,12.26µm
_2971_,12.26µm
monitor_out[31],12.26µm
_0525_,12.25µm
_0336_,12.22µm
_0599_,12.22µm
_0620_,12.22µm
_1630_,12.22µm
_0248_,12.2µm
_2665_,12.2µm
_1957_,12.18µm
_1649_,12.16µm
_1962_,12.16µm
_0475_,12.14µm
_0785_,12.14µm
_1409_,12.14µm
_0134_,12.12µm
_0660_,12.12µm
_1243_,12.12µm
_1808_,12.12µm
_2137_,12.12µm
_3043_,12.12µm
net403,12.12µm
_0822_,12.1µm
_0880_,12.1µm
_1212_,12.1µm
_1815_,12.1µm
_0733_,12.08µm
_0575_,12.06µm
_1102_,12.04µm
_2789_,12.04µm
_0810_,12.02µm
_2043_,12.02µm
_0900_,12µm
_1273_,12µm
_1481_,12µm
_2551_,12µm
_2428_,11.98µm
_0567_,11.965µm
_0928_,11.94µm
_3003_,11.94µm
monitor_out[0],11.94µm
_1974_,11.92µm
_2063_,11.92µm
_2064_,11.92µm
_2408_,11.92µm
_0832_,11.84µm
_0909_,11.84µm
_1473_,11.84µm
_2948_,11.84µm
_0618_,11.82µm
_1998_,11.82µm
_3014_,11.82µm
_0968_,11.8µm
_0255_,11.78µm
_0422_,11.78µm
_1953_,11.78µm
_2486_,11.78µm
_2981_,11.78µm
_0905_,11.77µm
_0304_,11.76µm
_0584_,11.76µm
_2796_,11.76µm
_1790_,11.74µm
_1988_,11.74µm
_0258_,11.72µm
_1126_,11.72µm
_2473_,11.72µm
_0666_,11.7µm
_1388_,11.7µm
_0755_,11.695µm
_0878_,11.68µm
_1604_,11.68µm
_2131_,11.68µm
_2317_,11.68µm
_1594_,11.66µm
_2032_,11.66µm
_2467_,11.66µm
_0651_,11.64µm
_0310_,11.62µm
_2397_,11.62µm
_0986_,11.6µm
_1841_,11.6µm
_0927_,11.59µm
_2522_,11.58µm
net335,11.58µm
_1197_,11.56µm
_2792_,11.545µm
_0887_,11.54µm
_1814_,11.54µm
_0505_,11.53µm
_0067_,11.5µm
_0451_,11.5µm
_0722_,11.5µm
_1495_,11.5µm
_2045_,11.5µm
net339,11.5µm
_2861_,11.48µm
_0149_,11.46µm
_0574_,11.46µm
_2033_,11.46µm
_2433_,11.46µm
_0093_,11.44µm
_0225_,11.425µm
_1802_,11.42µm
_0533_,11.4µm
_1338_,11.4µm
_0275_,11.38µm
_1612_,11.38µm
_0050_,11.36µm
monitor_out[30],11.34µm
_0480_,11.32µm
_1362_,11.32µm
_0191_,11.3µm
_0692_,11.3µm
_0796_,11.3µm
_1311_,11.3µm
_1682_,11.3µm
_1821_,11.3µm
_0688_,11.28µm
_2234_,11.28µm
_0224_,11.22µm
_0680_,11.22µm
_1442_,11.22µm
_3028_,11.22µm
_0371_,11.2µm
_0673_,11.2µm
_0875_,11.2µm
_0952_,11.2µm
_1458_,11.2µm
_0930_,11.185µm
_0469_,11.18µm
_1168_,11.18µm
_1601_,11.18µm
_2709_,11.16µm
_0102_,11.12µm
_2457_,11.12µm
core.u_fetch.next_pc\[27\],11.12µm
_1729_,11.1µm
_2519_,11.1µm
_2521_,11.1µm
_0259_,11.08µm
_0521_,11.08µm
_0549_,11.08µm
_1483_,11.08µm
_1982_,11.08µm
_2171_,11.08µm
_2564_,11.08µm
_0617_,11.06µm
_1230_,11.06µm
_2100_,11.06µm
_2145_,11.06µm
_1735_,11.04µm
_2771_,11.04µm
_2952_,11.04µm
_0780_,11.02µm
_0597_,11µm
_1827_,11µm
_2633_,11µm
_0243_,10.98µm
_1138_,10.98µm
core.dsp_result_in\[20\],10.98µm
monitor_out[4],10.98µm
monitor_out[6],10.98µm
_0288_,10.97µm
_0213_,10.96µm
_0823_,10.96µm
_1727_,10.96µm
_2154_,10.96µm
_0250_,10.92µm
_1503_,10.92µm
_2321_,10.92µm
_0571_,10.88µm
_2976_,10.88µm
_1159_,10.86µm
_1167_,10.86µm
_0303_,10.84µm
_0568_,10.84µm
_0661_,10.84µm
_0998_,10.84µm
_2065_,10.84µm
_2637_,10.84µm
_3024_,10.84µm
_0707_,10.82µm
_1920_,10.82µm
_2704_,10.82µm
core.dsp_valid_out,10.82µm
_2221_,10.78µm
_2335_,10.78µm
_1322_,10.75µm
_1200_,10.74µm
_0444_,10.7µm
_0894_,10.7µm
_2377_,10.7µm
_1935_,10.68µm
_2393_,10.68µm
monitor_out[2],10.68µm
_0706_,10.67µm
core.u_fetch.next_pc\[31\],10.66µm
_1290_,10.64µm
_2505_,10.64µm
core.u_fetch.next_pc\[2\],10.64µm
_2027_,10.63µm
_0550_,10.62µm
_0762_,10.62µm
_0843_,10.62µm
_1096_,10.62µm
_1275_,10.62µm
_1698_,10.6µm
_0701_,10.58µm
_3031_,10.58µm
_0718_,10.54µm
_1374_,10.54µm
_1810_,10.54µm
_2323_,10.54µm
_2489_,10.52µm
_2839_,10.52µm
_2835_,10.505µm
_0159_,10.5µm
_0769_,10.5µm
_0818_,10.5µm
_1086_,10.5µm
_2594_,10.5µm
_2837_,10.5µm
core.inst_addr_out\[22\],10.5µm
_0404_,10.47µm
_0209_,10.46µm
_1306_,10.44µm
_0830_,10.42µm
_0916_,10.42µm
_1112_,10.42µm
_0296_,10.4µm
_0643_,10.4µm
_0820_,10.4µm
_1044_,10.4µm
_1989_,10.4µm
_2634_,10.4µm
_2957_,10.4µm
_0542_,10.38µm
_0815_,10.38µm
_0941_,10.38µm
_1023_,10.37µm
_0337_,10.36µm
_0737_,10.36µm
_0901_,10.36µm
_1027_,10.36µm
_1452_,10.36µm
_2395_,10.36µm
_2727_,10.36µm
_1119_,10.35µm
_0443_,10.34µm
_1820_,10.34µm
_2336_,10.34µm
_2979_,10.34µm
net262,10.34µm
_0330_,10.32µm
_0569_,10.32µm
_0862_,10.32µm
_2273_,10.32µm
_3032_,10.32µm
_2487_,10.31µm
_0758_,10.3µm
_1016_,10.3µm
_1685_,10.3µm
_1923_,10.3µm
_0508_,10.29µm
_0171_,10.28µm
_1104_,10.28µm
_1825_,10.28µm
_1958_,10.28µm
_2460_,10.28µm
_2461_,10.28µm
_2658_,10.28µm
_2863_,10.28µm
dsp.u_mac.acc_reg\[9\],10.28µm
_2492_,10.265µm
_2083_,10.26µm
net341,10.26µm
_2606_,10.24µm
_0677_,10.2µm
_0690_,10.2µm
_0870_,10.2µm
_1093_,10.2µm
_1369_,10.2µm
_1613_,10.2µm
_2220_,10.2µm
_0527_,10.18µm
_2689_,10.18µm
_2815_,10.18µm
_0097_,10.16µm
_0732_,10.16µm
_1122_,10.16µm
_1219_,10.16µm
_1337_,10.16µm
_1544_,10.16µm
_1929_,10.16µm
_2104_,10.16µm
_2509_,10.16µm
_2623_,10.16µm
_3048_,10.16µm
_1407_,10.14µm
_2167_,10.125µm
_1654_,10.12µm
_1574_,10.1µm
_0130_,10.08µm
monitor_out[25],10.08µm
monitor_out[26],10.08µm
_0781_,10.045µm
_0128_,10.04µm
_0493_,10.04µm
_0682_,10.04µm
_1264_,10.04µm
_2376_,10.04µm
_2749_,10.04µm
_2934_,10.04µm
dsp.u_mac.acc_reg\[3\],10.04µm
_2769_,10.035µm
_0287_,10.02µm
_0950_,10.02µm
_0819_,10µm
_1887_,10µm
_2767_,10µm
_1515_,9.995µm
_2225_,9.98µm
net418,9.98µm
_1291_,9.96µm
_0106_,9.94µm
_0295_,9.94µm
_0554_,9.94µm
_1135_,9.94µm
core.dsp_result_in\[6\],9.94µm
_1081_,9.92µm
_1997_,9.9µm
_2698_,9.9µm
_0452_,9.88µm
_0457_,9.865µm
_0074_,9.86µm
_0779_,9.86µm
_1462_,9.86µm
_2391_,9.86µm
_2730_,9.86µm
_2910_,9.86µm
net324,9.86µm
_0328_,9.84µm
_1599_,9.84µm
_3055_,9.84µm
_1832_,9.825µm
_0187_,9.82µm
_0857_,9.82µm
_1251_,9.82µm
_2426_,9.82µm
core.dsp_result_in\[13\],9.82µm
_1082_,9.8µm
_1434_,9.8µm
_2313_,9.8µm
_2886_,9.8µm
_1183_,9.79µm
_0305_,9.78µm
_0529_,9.78µm
_2872_,9.78µm
_0348_,9.76µm
_0590_,9.76µm
monitor_out[3],9.76µm
_0924_,9.74µm
_2512_,9.74µm
_2573_,9.74µm
_2626_,9.74µm
_2632_,9.74µm
_1052_,9.72µm
_1851_,9.72µm
_1994_,9.72µm
_2153_,9.72µm
_2543_,9.72µm
_0138_,9.7µm
_0169_,9.7µm
_0938_,9.7µm
_1226_,9.7µm
_1754_,9.7µm
_1792_,9.7µm
_1925_,9.7µm
_1983_,9.7µm
_2029_,9.7µm
_2103_,9.7µm
_2702_,9.7µm
_2858_,9.7µm
_0635_,9.68µm
_2446_,9.68µm
_2499_,9.68µm
_0231_,9.66µm
_1459_,9.66µm
_2695_,9.64µm
_1186_,9.63µm
_1893_,9.62µm
dsp.u_mac.acc_reg\[7\],9.62µm
_2936_,9.6µm
_0804_,9.59µm
_1797_,9.59µm
_0077_,9.58µm
_0596_,9.58µm
_1714_,9.58µm
_2023_,9.58µm
_2124_,9.58µm
_0800_,9.56µm
_0014_,9.54µm
_1222_,9.54µm
_1655_,9.54µm
core.u_fetch.next_pc\[20\],9.54µm
_0118_,9.52µm
_1525_,9.52µm
_2405_,9.52µm
net391,9.52µm
_0307_,9.5µm
_0850_,9.5µm
_1464_,9.5µm
_2034_,9.5µm
_0069_,9.48µm
_0507_,9.48µm
_0619_,9.48µm
_0902_,9.48µm
_1076_,9.48µm
_1284_,9.48µm
_1793_,9.48µm
_2370_,9.48µm
_0623_,9.47µm
_0470_,9.46µm
_0754_,9.46µm
_2026_,9.46µm
_0465_,9.44µm
_0650_,9.44µm
_2590_,9.44µm
_3039_,9.44µm
_0633_,9.42µm
_2716_,9.42µm
_2116_,9.4µm
_2986_,9.4µm
_0397_,9.39µm
_1469_,9.39µm
_0738_,9.38µm
_2496_,9.38µm
_2984_,9.38µm
_0260_,9.37µm
_0367_,9.36µm
_0545_,9.36µm
_0696_,9.36µm
_1218_,9.36µm
_2098_,9.36µm
_2315_,9.36µm
_2980_,9.36µm
_0727_,9.34µm
core.inst_addr_out\[16\],9.34µm
_0402_,9.32µm
_0491_,9.32µm
_0837_,9.32µm
_1390_,9.32µm
_1567_,9.32µm
_1757_,9.32µm
_2786_,9.32µm
_2964_,9.32µm
_1799_,9.3µm
_2127_,9.3µm
_2940_,9.3µm
_0251_,9.28µm
_0908_,9.28µm
_1787_,9.28µm
_2216_,9.28µm
_2448_,9.28µm
core.u_regfile.registers\[2\]\[6\],9.28µm
_1835_,9.26µm
_3015_,9.26µm
_2687_,9.255µm
_0244_,9.24µm
_0256_,9.24µm
_0361_,9.24µm
_0855_,9.24µm
_0923_,9.24µm
_1229_,9.24µm
_1890_,9.24µm
_1905_,9.24µm
_2005_,9.24µm
_2865_,9.24µm
_0648_,9.2µm
_2003_,9.2µm
_2166_,9.2µm
_2588_,9.2µm
_2994_,9.18µm
_0076_,9.16µm
_0466_,9.16µm
_1163_,9.14µm
_2016_,9.14µm
_2441_,9.14µm
_0132_,9.125µm
_0154_,9.12µm
_0519_,9.12µm
_0956_,9.12µm
_2249_,9.12µm
_0396_,9.08µm
_1105_,9.08µm
_1128_,9.08µm
_2126_,9.08µm
net415,9.06µm
_0168_,9.04µm
_0856_,9.04µm
_1307_,9.04µm
_2087_,9.04µm
_2526_,9.04µm
net264,9.04µm
_0207_,9.02µm
_0323_,9.02µm
_0858_,9.02µm
_1831_,9.02µm
_2130_,9.02µm
_2181_,9.02µm
_2896_,9.02µm
_0672_,8.98µm
_1926_,8.98µm
_2106_,8.98µm
_1609_,8.975µm
_1864_,8.96µm
_2476_,8.96µm
_2578_,8.96µm
monitor_out[1],8.96µm
_0884_,8.94µm
_1015_,8.94µm
_1955_,8.94µm
net269,8.94µm
_0911_,8.93µm
_0441_,8.92µm
_0839_,8.92µm
_1535_,8.92µm
_2502_,8.92µm
_0606_,8.9µm
_0935_,8.9µm
_1637_,8.9µm
_2020_,8.9µm
_2053_,8.9µm
dsp.u_mac.acc_reg\[17\],8.9µm
_0104_,8.88µm
_1902_,8.88µm
_2379_,8.88µm
_1180_,8.87µm
_1204_,8.86µm
_1240_,8.86µm
_2660_,8.86µm
_0190_,8.82µm
_1053_,8.82µm
_1620_,8.82µm
_1947_,8.82µm
_2549_,8.82µm
_1950_,8.8µm
_2051_,8.8µm
_2814_,8.8µm
_1298_,8.78µm
_1551_,8.78µm
net33,8.78µm
_0445_,8.76µm
_0022_,8.74µm
_1967_,8.74µm
_2022_,8.74µm
_1490_,8.705µm
_0272_,8.7µm
_1752_,8.7µm
_1774_,8.7µm
_1843_,8.7µm
_2764_,8.7µm
_2988_,8.7µm
_1017_,8.68µm
_1368_,8.68µm
_0772_,8.67µm
_1037_,8.66µm
_1379_,8.66µm
_1534_,8.66µm
_1695_,8.66µm
_1176_,8.64µm
_2644_,8.64µm
_1866_,8.62µm
_0071_,8.6µm
_0082_,8.6µm
_0881_,8.6µm
_2411_,8.6µm
_2523_,8.6µm
_2901_,8.6µm
net8,8.6µm
_0273_,8.59µm
_1047_,8.59µm
_0115_,8.58µm
_0728_,8.58µm
_0771_,8.58µm
_1749_,8.58µm
_2144_,8.58µm
_2314_,8.58µm
_2684_,8.58µm
_2800_,8.58µm
_2834_,8.58µm
_2864_,8.58µm
_2907_,8.58µm
_0087_,8.56µm
_0530_,8.56µm
_0547_,8.56µm
_0985_,8.56µm
_1038_,8.56µm
_1501_,8.56µm
_1914_,8.56µm
_2306_,8.56µm
_2407_,8.56µm
_2480_,8.56µm
_2723_,8.56µm
_2860_,8.56µm
net280,8.56µm
_0144_,8.54µm
_2575_,8.54µm
_2783_,8.535µm
_0552_,8.52µm
_2263_,8.52µm
core.dsp_result_in\[10\],8.52µm
_1245_,8.51µm
_0561_,8.48µm
_1668_,8.48µm
_2090_,8.48µm
_2402_,8.48µm
_2742_,8.48µm
monitor_out[21],8.47µm
_0510_,8.46µm
_1192_,8.46µm
_1547_,8.46µm
_2084_,8.46µm
_2410_,8.46µm
_2422_,8.46µm
_2430_,8.46µm
_2625_,8.46µm
_2780_,8.46µm
_0338_,8.44µm
_0502_,8.44µm
_0553_,8.44µm
_0565_,8.44µm
_1822_,8.44µm
_2017_,8.44µm
_2346_,8.44µm
_2846_,8.44µm
core.u_regfile.registers\[2\]\[7\],8.44µm
dsp.u_mac.acc_reg\[11\],8.44µm
_1577_,8.42µm
_1966_,8.42µm
_1250_,8.4µm
_2110_,8.4µm
_2560_,8.4µm
_0333_,8.39µm
_1965_,8.38µm
_1394_,8.36µm
_1425_,8.36µm
_1979_,8.36µm
_2149_,8.36µm
_2722_,8.34µm
_2900_,8.34µm
_0544_,8.32µm
_1447_,8.32µm
_1710_,8.32µm
_1777_,8.32µm
_2073_,8.32µm
_0000_,8.28µm
_0589_,8.28µm
_1506_,8.28µm
_0416_,8.26µm
_2630_,8.26µm
_2761_,8.26µm
_0131_,8.24µm
_0246_,8.24µm
_0320_,8.24µm
_0591_,8.24µm
_1062_,8.24µm
_1805_,8.24µm
core.u_regfile.registers\[2\]\[14\],8.24µm
_1742_,8.22µm
_1842_,8.22µm
_2429_,8.22µm
_0654_,8.215µm
_1871_,8.21µm
_2932_,8.205µm
_0702_,8.2µm
_2112_,8.19µm
_2850_,8.18µm
_0315_,8.17µm
_1411_,8.16µm
_1635_,8.16µm
_2855_,8.16µm
_0101_,8.14µm
_0372_,8.14µm
_0454_,8.14µm
_1482_,8.14µm
_2148_,8.14µm
monitor_out[15],8.13µm
monitor_out[17],8.13µm
_0189_,8.12µm
_1358_,8.12µm
_1870_,8.12µm
_2491_,8.12µm
_2681_,8.12µm
_2931_,8.12µm
dsp.u_mac.acc_reg\[4\],8.12µm
_0447_,8.1µm
_0919_,8.1µm
_0953_,8.1µm
_1355_,8.1µm
_1414_,8.1µm
_0406_,8.08µm
_1049_,8.08µm
_1514_,8.08µm
_0120_,8.06µm
_0274_,8.06µm
_2140_,8.06µm
core.dsp_result_in\[1\],8.06µm
_0861_,8.02µm
_1497_,8.02µm
_2785_,8.02µm
_0088_,8µm
_0883_,8µm
_1190_,8µm
_1295_,8µm
_2038_,8µm
_2305_,8µm
_0983_,7.98µm
_1263_,7.98µm
_1389_,7.98µm
_1420_,7.98µm
_1881_,7.98µm
_1961_,7.98µm
_2890_,7.98µm
_3017_,7.98µm
core.dsp_result_in\[17\],7.98µm
net270,7.98µm
_1011_,7.96µm
_2277_,7.96µm
_2614_,7.96µm
_0588_,7.94µm
_2574_,7.94µm
_2587_,7.94µm
_2664_,7.94µm
_0971_,7.92µm
_1060_,7.92µm
_1354_,7.92µm
_0092_,7.9µm
_0912_,7.9µm
_1361_,7.9µm
_2517_,7.9µm
_1120_,7.89µm
_0229_,7.88µm
_0602_,7.88µm
_1937_,7.88µm
_2917_,7.88µm
_0068_,7.86µm
_0414_,7.86µm
_2121_,7.86µm
_2773_,7.86µm
_0801_,7.855µm
_1152_,7.84µm
_0018_,7.82µm
_2431_,7.79µm
monitor_out[23],7.79µm
_0233_,7.785µm
_1941_,7.785µm
_0464_,7.78µm
_0482_,7.78µm
_0860_,7.78µm
_0899_,7.78µm
_1479_,7.78µm
_1708_,7.78µm
_1861_,7.78µm
_1992_,7.78µm
_2006_,7.78µm
_2041_,7.78µm
_2404_,7.78µm
_2494_,7.78µm
_2682_,7.78µm
_2697_,7.78µm
_3058_,7.78µm
net29,7.78µm
_1833_,7.76µm
core.dsp_result_in\[2\],7.76µm
_0436_,7.75µm
_0095_,7.74µm
_1875_,7.74µm
_1940_,7.74µm
_2024_,7.74µm
_2359_,7.74µm
_3052_,7.74µm
_1845_,7.69µm
_0693_,7.68µm
_0874_,7.68µm
_1335_,7.68µm
_1996_,7.68µm
_2211_,7.68µm
_2345_,7.68µm
_2760_,7.68µm
net404,7.68µm
_1532_,7.67µm
_1704_,7.67µm
_0170_,7.66µm
_0609_,7.66µm
_0724_,7.66µm
_1381_,7.66µm
_1812_,7.66µm
_0392_,7.64µm
_0697_,7.64µm
_0791_,7.64µm
_1410_,7.64µm
_2398_,7.64µm
net278,7.64µm
core.dsp_result_in\[18\],7.62µm
_2217_,7.6µm
_2869_,7.6µm
_2870_,7.6µm
net5,7.6µm
net28,7.58µm
net265,7.58µm
_0034_,7.56µm
_0079_,7.56µm
_0488_,7.56µm
_0703_,7.56µm
_2732_,7.56µm
_2776_,7.56µm
_2812_,7.56µm
net387,7.56µm
_0353_,7.55µm
_0141_,7.54µm
_0188_,7.54µm
_1007_,7.54µm
_1855_,7.54µm
_2977_,7.54µm
_0123_,7.52µm
_0622_,7.52µm
_0642_,7.52µm
_0676_,7.52µm
_1092_,7.52µm
_1474_,7.52µm
_1642_,7.52µm
_2343_,7.52µm
_2612_,7.52µm
_2719_,7.52µm
_2961_,7.52µm
dsp.u_mac.acc_reg\[24\],7.52µm
net26,7.52µm
_0686_,7.5µm
_2200_,7.48µm
_0300_,7.44µm
_0841_,7.44µm
_1094_,7.44µm
_1513_,7.44µm
_1728_,7.44µm
core.dsp_result_in\[4\],7.44µm
core.u_fetch.next_pc\[29\],7.44µm
_0468_,7.42µm
_1071_,7.42µm
_2888_,7.42µm
_1185_,7.4µm
_1343_,7.4µm
_2349_,7.4µm
_1794_,7.34µm
_0254_,7.32µm
_0557_,7.32µm
_0664_,7.32µm
_0782_,7.32µm
_0981_,7.32µm
_0997_,7.32µm
_1371_,7.32µm
_1664_,7.32µm
_2552_,7.32µm
_2791_,7.32µm
_2817_,7.32µm
dsp.u_mac.acc_reg\[30\],7.32µm
_0241_,7.3µm
_2483_,7.3µm
_2541_,7.3µm
_2983_,7.3µm
_0657_,7.28µm
_2382_,7.28µm
_2636_,7.28µm
_2720_,7.28µm
_2915_,7.28µm
_0347_,7.26µm
_1097_,7.26µm
_0539_,7.25µm
_1253_,7.24µm
_2400_,7.24µm
_2686_,7.24µm
_0052_,7.22µm
_0540_,7.22µm
_0914_,7.22µm
_1530_,7.22µm
_1656_,7.22µm
net395,7.22µm
net397,7.22µm
net402,7.22µm
_0358_,7.21µm
_0809_,7.2µm
_1061_,7.2µm
_1149_,7.2µm
_1224_,7.2µm
_1896_,7.2µm
_2042_,7.2µm
_2453_,7.2µm
_0091_,7.18µm
_0276_,7.18µm
_1247_,7.18µm
_1783_,7.18µm
_1874_,7.18µm
_2569_,7.18µm
_2725_,7.18µm
_0375_,7.16µm
_0311_,7.14µm
net31,7.14µm
net357,7.14µm
_0598_,7.13µm
_1342_,7.12µm
_1383_,7.12µm
_2071_,7.12µm
_0437_,7.115µm
_0061_,7.1µm
_0282_,7.1µm
_0562_,7.1µm
_0773_,7.1µm
_0945_,7.1µm
_1004_,7.1µm
_1246_,7.1µm
_1288_,7.1µm
_1703_,7.1µm
_1772_,7.1µm
_1936_,7.1µm
_2653_,7.1µm
_3061_,7.1µm
core.u_regfile.registers\[1\]\[15\],7.1µm
net398,7.1µm
_0847_,7.08µm
_1077_,7.08µm
_1132_,7.08µm
_1375_,7.08µm
_2525_,7.08µm
_2688_,7.08µm
_1064_,7.075µm
_1068_,7.065µm
_0279_,7.06µm
_0354_,7.06µm
_0389_,7.06µm
_0408_,7.06µm
_0679_,7.06µm
_0922_,7.06µm
_1142_,7.06µm
_1208_,7.06µm
_1280_,7.06µm
_1324_,7.06µm
_1624_,7.06µm
_1763_,7.06µm
_2226_,7.06µm
_2724_,7.06µm
_0723_,7.04µm
_0999_,7.04µm
_2367_,7.04µm
_2388_,7.04µm
_1785_,7.035µm
_1382_,7.03µm
_1575_,7µm
_1995_,7µm
_1203_,6.99µm
_1942_,6.985µm
