net,length_um
_2307_,95.62µm
_1889_,94.2µm
_1392_,94.1µm
_2075_,93.14µm
_1648_,93.02µm
net128,92.59µm
_1883_,92.4µm
_1737_,92.36µm
_2079_,92.2µm
_0873_,91.74µm
net116,91.54µm
core.u_regfile.registers\[1\]\[27\],91.23µm
_2885_,90.96µm
_2175_,90.8µm
_2174_,90.76µm
net241,90.61µm
_1736_,90.12µm
net118,89.84µm
core.u_regfile.registers\[2\]\[9\],89.68µm
_1991_,89.14µm
_1484_,88.52µm
core.u_regfile.registers\[2\]\[24\],88.38µm
net226,87.36µm
net216,87.34µm
_2542_,86.905µm
clknet_4_8_0_clk,86.84µm
net39,86.4µm
_2597_,86.33µm
_2300_,86.3µm
net147,85.74µm
_0513_,85.68µm
net85,85.66µm
net219,85.6µm
net40,85.51µm
net79,85.4µm
net211,84.94µm
_0359_,84.9µm
_0629_,84.86µm
_1187_,84.5µm
_1157_,83.98µm
_2120_,83.76µm
_0628_,83.7µm
net227,83.59µm
net210,83.14µm
_0509_,82.91µm
_1256_,82.66µm
clknet_4_14_0_clk,82.62µm
_1261_,82.225µm
_1891_,82.22µm
_1750_,82.16µm
_2092_,81.54µm
net112,81.48µm
net111,81.45µm
core.u_regfile.registers\[2\]\[22\],81.36µm
net113,81.34µm
_2958_,81.035µm
net114,80.88µm
clknet_4_9_0_clk,80.7µm
_0415_,80.66µm
_1639_,80.56µm
_1471_,80.54µm
core.u_regfile.registers\[1\]\[1\],80.44µm
core.u_regfile.registers\[1\]\[26\],80.44µm
_1813_,80.42µm
_1156_,80.2µm
_1148_,80.1µm
net225,79.74µm
net74,79.48µm
_2257_,79.24µm
_0512_,78.72µm
_0743_,78.58µm
core.u_regfile.registers\[1\]\[28\],78.42µm
_2951_,78.335µm
_1510_,78.28µm
_3012_,78.26µm
_2465_,78.22µm
net207,77.76µm
_0742_,77.68µm
_2561_,77.04µm
_1124_,76.5µm
_1146_,76.06µm
_1297_,75.92µm
_1418_,75.7µm
_0814_,75.34µm
_0871_,75.1µm
_1336_,74.55µm
_2207_,74.38µm
_2852_,74.2µm
_0872_,74.06µm
_2295_,72.84µm
_2803_,72.815µm
_2002_,72.8µm
net223,72.54µm
_1010_,72.42µm
_1489_,72.36µm
_1325_,72.33µm
_1932_,71.68µm
_1378_,71.62µm
_2927_,71.58µm
_1249_,71.42µm
_1954_,70.98µm
net185,70.88µm
_1548_,70.8µm
net212,70.02µm
clknet_4_11_0_clk,69.9µm
net240,69.88µm
net224,69.85µm
_2484_,69.54µm
_2627_,69.28µm
_2876_,68.68µm
_1391_,68.54µm
_1315_,68.26µm
_0969_,67.92µm
_1720_,67.9µm
_1493_,67.7µm
_2718_,67.5µm
_2133_,67.28µm
_1150_,67.06µm
_0167_,66.84µm
_2284_,66.66µm
_2068_,66.025µm
_1262_,65.94µm
_2369_,65.9µm
net173,64.92µm
_1402_,64.72µm
net187,64.66µm
_0746_,64.56µm
_1509_,64.39µm
_1565_,63.88µm
_1115_,63.68µm
_0261_,63.675µm
_1773_,63.62µm
_1986_,62.94µm
net245,62.2µm
_0401_,62.14µm
_2208_,62.04µm
core.u_regfile.registers\[1\]\[21\],62.02µm
_0831_,61.92µm
core.u_regfile.registers\[1\]\[29\],61.9µm
_1299_,61.46µm
net242,61.39µm
net24,60.9µm
core.inst_addr_out\[27\],60.89µm
core.u_regfile.registers\[2\]\[1\],60.82µm
_0626_,60.38µm
_1421_,60.32µm
_1377_,60.22µm
_0959_,59.88µm
_0294_,59.24µm
_1631_,58.92µm
_0745_,58.46µm
net99,58.36µm
_1404_,58.32µm
core.u_regfile.registers\[2\]\[28\],57.94µm
core.u_regfile.registers\[2\]\[26\],57.89µm
_1313_,57.8µm
_1531_,57.36µm
net230,57.27µm
_0965_,57.185µm
_0625_,57.06µm
_1239_,56.82µm
core.u_regfile.registers\[1\]\[17\],56.62µm
_2956_,56.56µm
_1227_,56.32µm
_0474_,56.16µm
_1699_,56.06µm
_2256_,56.02µm
_1121_,56µm
_2311_,55.84µm
_1542_,55.56µm
net13,55.22µm
_0103_,54.68µm
_1419_,54.56µm
_1158_,54.54µm
_0398_,54.52µm
_2679_,54.52µm
_2895_,54.38µm
_0316_,54.2µm
_1098_,53.92µm
_2177_,53.76µm
_0645_,53.22µm
core.inst_addr_out\[28\],52.76µm
_1035_,51.92µm
_1939_,51.82µm
_1628_,51.8µm
_1242_,51.78µm
_2670_,51.76µm
core.dsp_result_in\[27\],51.38µm
_1690_,50.88µm
_2385_,50.18µm
